	CK-1	CK-2	CK-3	TH-1	TH-2	TH-3	pvalue	log2FC	UPDOWN
BraA01000100	98	71	80	72	86	101	0.787039375746762	-0.0568063556184728	Not sig
BraA01000101	0.005	1	2	0.005	1	3	0.769650151406301	-0.414437251697525	Not sig
BraA01000102	369	502	488	501	407	582	0.544646118846128	-0.132766874582133	Not sig
BraA01000103	0.005	0.005	0.005	1	0.005	2	0.225662696077777	-7.64625867999003	Not sig
BraA01000104	472	586	605	552	353	358	0.173650438282832	0.396933529499717	Not sig
BraA01000106	39	18	39	37	45.58	57	0.187586519558561	-0.539985925959919	Not sig
BraA01000107	0.005	1	12	2	3	1	0.606661914031895	1.11603199344711	Not sig
BraA01000110	0.005	0.005	0.005	4	1	4	0.0957406291148458	-9.22881869049588	Not sig
BraA01000111	25	34	44	46	37	45	0.270306666580031	-0.313499472816781	Not sig
BraA01000112	177	181	142	228	171	244	0.15290973255833	-0.362890642665861	Not sig
BraA01000113	0.005	0.005	0.005	2	0.005	2	0.183503419072274	-8.06069593168755	Not sig
BraA01000114	0.005	0.005	6	3	0.005	3	0.999452427433205	0.00120074500555137	Not sig
BraA01000116	5	0.005	12	1	0.005	0.005	0.264455948518849	4.07353180795605	Not sig
BraA01000117	57	51	102	64	71	91	0.786775629540478	-0.105933444749065	Not sig
BraA01000118	149	126	132	161	150	120	0.607312482477942	-0.0826590748228511	Not sig
BraA01000119	40.28	16.79	32	28	21.92	33	0.805536648250384	0.103219477598397	Not sig
BraA01000120	17	28	37	39	14	20	0.768918444594839	0.167727445738067	Not sig
BraA01000121	754.34	996.82	776.44	723	772.21	1286.87	0.697559021709466	-0.138395734919643	Not sig
BraA01000122	217	203	191	192	217	244	0.46663621688123	-0.0959106117277012	Not sig
BraA01000123	1884	1766	3219	2057	1051	2371	0.492667133060347	0.326187480836059	Not sig
BraA01000125	0.005	1	2	0.005	1	0.005	0.386643207845422	1.57300969795939	Not sig
BraA01000126	28	34	59	29	16	37	0.323832152412916	0.561311232656511	Not sig
BraA01000127	0.005	0.005	1	1	3	0.005	0.378566668196023	-1.98744694965692	Not sig
BraA01000128	77	80	80	76	69	42	0.24840046729002	0.341848789010622	Not sig
BraA01000130	103	88	18	216	166	207	0.0216594096650177	-1.49476469174958	Down
BraA01000133	60	126	141	68	54	54	0.176657507116303	0.893715206860785	Not sig
BraA01000134	9	12	32	3	2	2	0.167348182692816	2.9205655325056	Not sig
BraA01000135	47	61	69	69	84	49	0.532235388672769	-0.190605932668797	Not sig
BraA01000136	51	51	60	58	61	36	0.802752360489939	0.0637255976103872	Not sig
BraA01000137	268	219	122	199	227	148	0.82589090543998	0.0853914912306447	Not sig
BraA01000138	48	48	154	75	44	49	0.524373168579987	0.573466861883327	Not sig
BraA01000140	0.83	5.45	3.45	0.005	11.96	2.54	0.713496372157734	-0.576038585416886	Not sig
BraA01000143	84.17	48.55	93.55	124	69.04	89.46	0.425663829163634	-0.320205549915044	Not sig
BraA01000144	3	6	3	4	2	4	0.6127482535729	0.263034405833794	Not sig
BraA01000145	20	15	17	29	9	16	0.921161247872349	-0.0544477840223765	Not sig
BraA01000146	41	31	43	25	22	19	0.0314061639940731	0.801095931585922	Not sig
BraA01000147	2	0.005	8	4	3	4	0.903347246023216	-0.136782356506281	Not sig
BraA01000148	0.005	1	1	0.005	0.005	0.005	0.183503419072274	7.06249592573376	Not sig
BraA01000149	2818	3016	1831	2665	2213	1698	0.477789391603184	0.221075492864457	Not sig
BraA01000150	53	43	43	48	48	33	0.612748253572899	0.107713817300253	Not sig
BraA01000151	20	18	72	25	23	10	0.432542744607128	0.923378718397088	Not sig
BraA01000153	526	588	412	685	463	670	0.337685005422614	-0.252597237359577	Not sig
BraA01000154	57	84	236	116	76	110	0.700747654212518	0.320015973943585	Not sig
BraA01000155	372	383	302	422	382	528	0.160333276620487	-0.333618705688579	Not sig
BraA01000156	344	324	240	354	329	333	0.376311927553368	-0.162136199481251	Not sig
BraA01000157	25	35	26	23	22	21	0.167279789196182	0.381870635343644	Not sig
BraA01000159	15	13	46	28	5	6	0.427401606579188	0.924051146766702	Not sig
BraA01000163	377	282	1582	390	528	172	0.458386276584935	1.0398145138461	Not sig
BraA01000164	2	4	23	2	2	2	0.370512365770431	2.27301849440642	Not sig
BraA01000165	1964	1900	193	665	455	203	0.253716361631414	1.6166002409276	Not sig
BraA01000166	1	0.005	2	0.005	0.005	0.005	0.225662696077777	7.64625867999003	Not sig
BraA01000167	9	17	26	12	9	2	0.182470053129764	1.17687776208408	Not sig
BraA01000170	244	262	199	261	219	295	0.465508370014141	-0.136573052875444	Not sig
BraA01000171	29	38	34	18	17	28	0.0487806632534815	0.680931559251878	Not sig
BraA01000173	1	2	0.005	4	4	4	0.0349694231787089	-1.9975975097847	Down
BraA01000174	397	504	473	394	413	344	0.132915734958879	0.25549417068587	Not sig
BraA01000176	168	243	329.62	158	191	150	0.221865476223354	0.56969369358949	Not sig
BraA01000178	7	19	36	13	5	12	0.332163359737648	1.04730571477836	Not sig
BraA01000179	10	5	5	20	12	53	0.224814181440979	-2.08746284125034	Not sig
BraA01000180	190	245	179	272	213	318	0.170526692155627	-0.387161332147135	Not sig
BraA01000181	28	31	21	31	27	42	0.292177341917018	-0.321928094887362	Not sig
BraA01000185	59	66	161	91	60	149	0.917107759027682	-0.0689473537174916	Not sig
BraA01000186	3	7	2	3	2	0.005	0.272658628071118	1.26159243165989	Not sig
BraA01000187	3	1	10	0.005	5	0.005	0.411751107190328	1.48254431863712	Not sig
BraA01000189	447	521	485	349	331	273	0.00609835846672572	0.608486583722899	Not sig
BraA01000190	37	36	49	40	28	36	0.335657480829004	0.230297619421794	Not sig
BraA01000191	46	46	70	49	52	44	0.557636680162708	0.15994091286969	Not sig
BraA01000195	3	2	3	0.005	1	1	0.0131617594868448	1.9963977633198	Up
BraA01000196	63	75	76	65	42	68	0.253947931256157	0.290255874568818	Not sig
BraA01000197	10	8	20	13	7	5	0.391143484652471	0.604071323668861	Not sig
BraA01000199	28	46	49	71	41	71	0.180970605298064	-0.573185332944803	Not sig
BraA07001021	134	40.5	33.5	90	26.5	79.5	0.922028071519316	0.085729874025884	Not sig
