	TH-1	TH-2	TH-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA01000081	0.005	2	2	1	4	2	0.642834826490804	-0.805552679423619	Not sig
BraA01000082	41	59	25	11341	11290	10515	0.1	-8.05076287387219	Not sig
BraA01000084	32	27	24	17	16	22	0.1	0.593679717822265	Not sig
BraA01000085	538	255	307	390	541	409	0.4	-0.284729476933113	Not sig
BraA01000086	236	118	164	220	210	148	1	-0.158117394814125	Not sig
BraA01000087	103	78	115	31	33	29	0.1	1.67029455452092	Not sig
BraA01000088	23	4	15	31	46	37	0.1	-1.44057259138598	Not sig
BraA01000090	389	409	352	205	263	208	0.1	0.766538709549553	Not sig
BraA01000091	17	0.005	1	51	92	85	0.1	-3.66256431974919	Not sig
BraA01000092	220	97	76	230	253	229	0.1	-0.857347928707791	Not sig
BraA01000093	122	95	110	302	411	424	0.1	-1.79786971339417	Not sig
BraA01000094	2688	2408	3163	273	339	285	0.1	3.20278722039746	Not sig
BraA01000095	0.005	2	1	0.005	0.005	0.005	0.196705602458947	7.64625867999003	Not sig
BraA01000097	138	73	130	111	86	64	0.4	0.385721932454288	Not sig
BraA01000098	23	11	35	3	6	6	0.0765225004750592	2.20163386116965	Not sig
BraA01000099	953	877	1236	918	1273	1111	0.7	-0.106982423254481	Not sig
BraA01000100	72	86	101	55	84	59	0.2	0.387451667606944	Not sig
BraA01000101	0.005	1	3	0.005	2	1	1	0.414437251697525	Not sig
BraA01000102	501	407	582	231	281	219	0.1	1.02736901939709	Not sig
BraA01000103	1	0.005	2	0.005	0.005	0.005	0.196705602458947	7.64625867999003	Not sig
BraA01000104	552	353	358	789	970	872	0.1	-1.05875660937834	Not sig
BraA01000106	37	45.58	57	43	33.76	47	0.7	0.173547135006764	Not sig
BraA01000107	2	3	1	0.005	0.005	0.005	0.0636025696207536	8.64385618977473	Not sig
BraA01000110	4	1	4	9	15	15	0.0721981977016576	-2.11547721741994	Not sig
BraA01000111	46	37	45	17	27	7	0.1	1.3275746580285	Not sig
BraA01000112	228	171	244	134	156	160	0.1	0.51489373611091	Not sig
BraA01000113	2	0.005	2	1	1	1	0.637351888233937	0.416839741912829	Not sig
BraA01000114	3	0.005	3	13	22	21	0.0765225004750592	-3.2211906761267	Not sig
BraA01000115	0.005	0.005	0.005	8	4	6	0.0636025696207536	-10.2288186904959	Not sig
BraA01000116	1	0.005	0.005	37	46	48	0.0765225004750592	-7.01906770856038	Not sig
BraA01000117	64	71	91	22	7	6	0.1	2.69089594547022	Not sig
BraA01000118	161	150	120	4	5	3	0.1	5.16658155836794	Not sig
BraA01000119	28	21.92	33	7013.99	7475.23	10613.19	0.1	-8.24189004745617	Not sig
BraA01000120	39	14	20	110	133	117	0.1	-2.30202853744966	Not sig
BraA01000121	723	772.21	1286.87	189.58	330	223	0.1	1.90554554129868	Not sig
BraA01000122	192	217	244	203	219	207	1	0.0540229746671417	Not sig
BraA01000123	2057	1051	2371	2635	2314	2263	0.4	-0.396486793126362	Not sig
BraA01000126	29	16	37	33	23	52	0.7	-0.397335497545385	Not sig
BraA01000127	1	3	0.005	0.005	2	2	1	0	Not sig
BraA01000128	76	69	42	129	148	181	0.1	-1.29230932820931	Not sig
BraA01000130	216	166	207	13	74	7	0.1	2.64753497215282	Not sig
BraA01000131	0.005	1.07	0.005	319	337	517.99	0.0765225004750592	-10.0861730919548	Not sig
BraA01000133	68	54	54	36	50	35	0.0765225004750592	0.540568381362703	Not sig
BraA01000134	3	2	2	8	38	18	0.0765225004750592	-3.1926450779424	Not sig
BraA01000135	69	84	49	1	11	8	0.1	3.33628338786443	Not sig
BraA01000136	58	61	36	105	118	119	0.1	-1.14172810961166	Not sig
BraA01000137	199	227	148	74	107	125	0.1	0.907519083983036	Not sig
BraA01000138	75	44	49	31	53	21	0.4	0.678071905112638	Not sig
BraA01000140	0.005	11.96	2.54	0.005	0.64	0.005	0.353678517318465	4.47996676716954	Not sig
BraA01000143	124	69.04	89.46	4	17.36	6.66	0.1	3.33372200664646	Not sig
BraA01000144	4	2	4	1	4	2	0.479500122186953	0.514573172829758	Not sig
BraA01000145	29	9	16	337	383	470	0.1	-4.46185835603184	Not sig
BraA01000146	25	22	19	628	713	685	0.1	-4.94002433944268	Not sig
BraA01000147	4	3	4	1	1	0.005	0.0721981977016576	2.4558293819571	Not sig
BraA01000149	2665	2213	1698	643	1066	453	0.1	1.60484377594703	Not sig
BraA01000150	48	48	33	266	345	392	0.0765225004750592	-2.95887863518893	Not sig
BraA01000151	25	23	10	26	33	24	0.2	-0.517058436219353	Not sig
BraA01000153	685	463	670	349	428	419	0.1	0.604134809996002	Not sig
BraA01000154	116	76	110	100	160	103	1	-0.265420998670672	Not sig
BraA01000155	422	382	528	509	597	551	0.2	-0.31497952015019	Not sig
BraA01000156	354	329	333	389	403	407	0.1	-0.238931256642058	Not sig
BraA01000157	23	22	21	43	36	30	0.1	-0.723790205418473	Not sig
BraA01000159	28	5	6	206	170	194	0.1	-3.86941589018986	Not sig
BraA01000160	0.005	0.005	0.005	91.29	55.59	15.26	0.0636025696207536	-13.3999899270112	Not sig
BraA01000161	0.005	0.005	0.005	377.71	200.41	99.74	0.0636025696207536	-15.463737219798	Not sig
BraA01000163	390	528	172	287	229	352	0.7	0.328561187219809	Not sig
BraA01000164	2	2	2	107	105	56	0.0636025696207536	-5.48112668973662	Not sig
BraA01000165	665	455	203	14	22	8	0.1	4.91016572764138	Not sig
BraA01000166	0.005	0.005	0.005	162	179	206	0.0636025696207536	-15.1542907118461	Not sig
BraA01000167	12	9	2	0.005	3.06	0.005	0.184038627196425	2.90532330046156	Not sig
BraA01000170	261	219	295	90	125	117	0.1	1.22301306881467	Not sig
BraA01000171	18	17	28	131	190	222	0.1	-3.10752846430444	Not sig
BraA01000172	0.005	0.005	1	1	1	0.005	0.619256754176862	-0.989246943703125	Not sig
BraA01000174	394	413	344	1115	1204	1648	0.1	-1.78516056401305	Not sig
BraA01000176	158	191	150	226	255	454	0.1	-0.905926549437738	Not sig
BraA01000178	13	5	12	39	44	29	0.1	-1.90046432644909	Not sig
BraA01000179	20	12	53	4	11	1	0.1	2.4093909361377	Not sig
BraA01000180	272	213	318	126	170	125	0.1	0.931579754450918	Not sig
BraA01000181	31	27	42	20	14	14	0.0765225004750592	1.05889368905357	Not sig
BraA01000185	91	60	149	142	183	171	0.2	-0.725377619890994	Not sig
BraA01000186	3	2	0.005	1	1	2	0.822186767238018	0.323370069061269	Not sig
BraA01000189	349	331	273	460	521	503	0.1	-0.638942972710861	Not sig
BraA01000190	40	28	36	465	471	483	0.1	-3.77021915591946	Not sig
BraA01000191	49	52	44	151	202	208	0.1	-1.95194787059386	Not sig
BraA01000195	0.005	1	1	33	11	8	0.0765225004750592	-4.6968374814609	Not sig
BraA01000196	65	42	68	115	122	139	0.1	-1.10337773984531	Not sig
BraA01000197	13	7	5	7	5	3	0.368688269361781	0.736965594166206	Not sig
BraA01000199	71	41	71	29	34	30	0.0765225004750592	0.976541027176011	Not sig
BraA07001021	90	26.5	79.5	4816.5	6187	6188	0.1	-6.45469796437759	Not sig
